Date,AAPL,ABBV,ABT,ACN,ADBE,AMD,AMZN,AVGO,BAC,BMY,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,GOOG,GOOGL,HD,INTC,JNJ,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NFLX,NVDA,PEP,PFE,PG,PM,QCOM,TMO,TSLA,TXN,UNH,UPS,V,VZ,WMT,XOM
2015-01-02,27.332500457763672,65.88999938964844,44.900001525878906,88.83999633789062,72.33999633789062,2.6700000762939453,15.425999641418457,10.008999824523926,17.899999618530273,59.5099983215332,28.674999237060547,141.61000061035156,59.2400016784668,27.610000610351562,112.58000183105469,57.61403274536133,93.75,26.16865348815918,26.477500915527344,103.43000030517578,36.36000061035156,104.5199966430664,62.4900016784668,42.13999938964844,129.9499969482422,70.05999755859375,67.69999694824219,85.68000030517578,93.26000213623047,78.44999694824219,54.57061004638672,46.7599983215332,26.672500610351562,4.984857082366943,0.503250002861023,94.44000244140625,29.724857330322266,90.44000244140625,81.0199966430664,74.27999877929688,128.1199951171875,14.620667457580566,53.47999954223633,100.77999877929688,110.37999725341797,66.25499725341797,46.959999084472656,28.633333206176758,92.83000183105469
2015-01-05,26.5625,64.6500015258789,44.90999984741211,87.33999633789062,71.9800033569336,2.6600000858306885,15.10949993133545,9.848999977111816,17.3799991607666,58.58000183105469,27.979999542236328,140.0,58.16999816894531,27.059999465942383,108.08000183105469,57.04273223876953,92.37999725341797,25.623151779174805,25.972999572753906,101.26000213623047,35.95000076293945,103.79000091552734,60.54999923706055,42.13999938964844,126.5199966430664,69.37000274658203,66.08000183105469,83.2699966430664,92.2300033569336,77.19000244140625,55.38167953491211,46.33000183105469,26.389999389648438,4.731142997741699,0.4947499930858612,93.7300033569336,29.563566207885742,90.01000213623047,80.41000366210938,73.93000030517578,126.36000061035156,14.005999565124512,52.650001525878906,99.12000274658203,108.16999816894531,64.7925033569336,46.56999969482422,28.549999237060547,90.29000091552734
2015-01-06,26.565000534057617,64.33000183105469,44.400001525878906,86.70999908447266,70.52999877929688,2.630000114440918,14.76449966430664,9.625,16.860000610351562,58.47999954223633,27.614999771118164,141.85000610351562,57.20000076293945,27.049999237060547,108.02999877929688,56.65290069580078,91.88999938964844,25.029281616210938,25.332000732421875,100.94999694824219,35.279998779296875,103.27999877929688,58.97999954223633,42.459999084472656,124.9000015258789,69.72000122070312,66.2300033569336,83.08999633789062,92.4000015258789,76.1500015258789,57.5572509765625,45.650001525878906,26.49250030517578,4.650143146514893,0.47975000739097595,93.0199966430664,29.81024742126465,89.5999984741211,81.0999984741211,72.87999725341797,125.18000030517578,14.085332870483398,51.779998779296875,98.91999816894531,107.45999908447266,64.375,47.040000915527344,28.770000457763672,89.80999755859375
2015-01-07,26.9375,66.93000030517578,44.7599983215332,88.52999877929688,71.11000061035156,2.5799999237060547,14.920999526977539,9.885000228881836,16.940000534057617,59.2400016784668,27.59000015258789,144.32000732421875,56.93000030517578,27.299999237060547,107.94000244140625,56.99568176269531,92.83000183105469,24.986400604248047,25.25749969482422,104.41000366210938,36.02000045776367,105.55999755859375,59.06999969482422,42.9900016784668,126.30000305175781,69.2300033569336,68.19999694824219,84.22000122070312,94.01000213623047,76.1500015258789,58.788169860839844,46.22999954223633,26.735000610351562,4.674285888671875,0.47850000858306885,95.73999786376953,30.218215942382812,90.06999969482422,81.70999908447266,73.7300033569336,128.92999267578125,14.063332557678223,52.709999084472656,99.93000030517578,108.45999908447266,65.23750305175781,46.189998626708984,29.53333282470703,90.72000122070312
2015-01-08,27.97249984741211,67.62999725341797,45.68000030517578,89.87999725341797,72.91999816894531,2.609999895095825,15.02299976348877,10.378999710083008,17.290000915527344,60.720001220703125,28.190000534057617,145.55999755859375,58.59000015258789,27.510000228881836,110.41000366210938,57.87615966796875,93.79000091552734,25.065183639526367,25.345500946044922,106.72000122070312,36.689998626708984,106.38999938964844,60.38999938964844,43.5099983215332,128.3800048828125,70.87000274658203,69.63999938964844,85.52999877929688,94.36000061035156,78.18000030517578,59.97137451171875,47.59000015258789,26.897499084472656,4.7779998779296875,0.4964999854564667,97.4800033569336,30.834915161132812,91.0999984741211,82.94000244140625,74.51000213623047,130.27000427246094,14.041333198547363,53.56999969482422,104.69999694824219,110.41000366210938,66.11250305175781,47.18000030517578,30.156667709350586,92.2300033569336
2015-01-09,28.002500534057617,65.77999877929688,45.20000076293945,89.77999877929688,71.83999633789062,2.630000114440918,14.846500396728516,10.489999771118164,16.979999542236328,60.31999969482422,28.145000457763672,143.32000732421875,58.15999984741211,27.790000915527344,108.20999908447266,57.486328125,94.25,24.740575790405273,25.035999298095703,104.88999938964844,36.7599983215332,104.94000244140625,59.34000015258789,43.029998779296875,126.6500015258789,69.93000030517578,68.33000183105469,84.44000244140625,93.20999908447266,77.73999786376953,59.69465637207031,47.189998626708984,26.65999984741211,4.704143047332764,0.4984999895095825,96.81999969482422,30.977230072021484,90.25,82.72000122070312,74.41999816894531,129.75,13.77733325958252,53.599998474121094,103.72000122070312,109.5999984741211,65.13249969482422,46.7599983215332,29.78333282470703,92.0999984741211
2015-01-12,27.3125,65.76000213623047,45.58000183105469,89.51000213623047,71.12000274658203,2.630000114440918,14.570500373840332,10.315999984741211,16.68000030517578,62.18000030517578,28.084999084472656,142.52000427246094,57.72999954223633,28.049999237060547,105.87999725341797,56.77388381958008,94.45999908447266,24.560070037841797,24.85300064086914,104.41999816894531,36.599998474121094,104.58000183105469,58.83000183105469,42.63999938964844,126.37000274658203,69.41999816894531,67.8499984741211,83.36000061035156,93.01000213623047,76.72000122070312,59.446563720703125,46.599998474121094,26.592500686645508,4.554714202880859,0.492249995470047,96.41999816894531,31.091081619262695,89.91999816894531,83.05000305175781,73.56999969482422,128.5,13.480667114257812,53.119998931884766,102.55000305175781,109.63999938964844,65.00499725341797,47.08000183105469,30.00666618347168,90.33000183105469
2015-01-13,27.55500030517578,63.38999938964844,44.61000061035156,89.83000183105469,70.58999633789062,2.6600000858306885,14.737000465393066,10.258000373840332,16.450000762939453,63.119998931884766,28.420000076293945,141.08999633789062,57.970001220703125,28.100000381469727,104.19999694824219,56.69322967529297,95.19000244140625,24.741073608398438,25.09000015258789,103.7300033569336,36.5,104.76000213623047,58.84000015258789,42.630001068115234,125.5,69.37999725341797,67.86000061035156,83.55000305175781,92.83000183105469,76.44999694824219,59.34160232543945,46.36000061035156,26.697500228881836,4.625570774078369,0.49149999022483826,96.3499984741211,30.77798843383789,90.30000305175781,83.0999984741211,72.97000122070312,128.33999633789062,13.616666793823242,52.790000915527344,103.06999969482422,110.11000061035156,65.19499969482422,47.18000030517578,29.770000457763672,90.0
2015-01-14,27.450000762939453,63.70000076293945,44.279998779296875,88.77999877929688,69.98999786376953,2.630000114440918,14.66349983215332,10.33899974822998,16.040000915527344,62.95000076293945,27.90999984741211,139.30999755859375,57.25,27.920000076293945,103.9000015258789,55.799312591552734,94.2300033569336,24.974931716918945,25.296499252319336,102.63999938964844,36.349998474121094,104.0,56.810001373291016,42.560001373291016,124.58999633789062,69.76000213623047,67.38999938964844,83.45999908447266,91.54000091552734,76.27999877929688,59.770992279052734,45.959999084472656,26.862499237060547,4.631999969482422,0.4934999942779541,96.66999816894531,30.81593894958496,89.98999786376953,83.41999816894531,72.22000122070312,126.19999694824219,12.845999717712402,52.709999084472656,103.33000183105469,109.37000274658203,63.88999938964844,46.970001220703125,28.8700008392334,89.73999786376953
2015-01-15,26.704999923706055,62.88999938964844,43.95000076293945,88.16999816894531,70.29000091552734,2.5199999809265137,14.34749984741211,10.131999969482422,15.199999809265137,61.630001068115234,28.0,139.30999755859375,55.11000061035156,27.40999984741211,102.66999816894531,55.1339111328125,94.3499984741211,25.02080535888672,25.20050048828125,101.01000213623047,36.189998626708984,102.48999786376953,54.9900016784668,42.380001068115234,124.47000122070312,69.73999786376953,66.3499984741211,82.25,91.37999725341797,74.05000305175781,59.04580307006836,45.47999954223633,26.760000228881836,4.625143051147461,0.49000000953674316,96.66999816894531,30.74003791809082,89.86000061035156,82.81999969482422,71.37999725341797,124.12999725341797,12.791333198547363,52.38999938964844,104.45999908447266,109.29000091552734,63.282501220703125,47.099998474121094,29.126667022705078,88.95999908447266
